Replicate 1_1
  time=32.410 s | disp=161.778 mm | residual=-30.0172 N (idx 2236)

Replicate 1_10
  samples=3000 threshold=0.050 N
  time=10.050 s | disp=50.031 mm | residual=-3.8734 N (idx 0)
  time=11.970 s | disp=59.631 mm | residual=4.5266 N (idx 192)
  time=13.250 s | disp=66.031 mm | residual=-3.4958 N (idx 320)
  time=14.800 s | disp=73.781 mm | residual=5.5521 N (idx 475)
  time=15.920 s | disp=79.381 mm | residual=5.0361 N (idx 587)
  time=17.290 s | disp=86.231 mm | residual=-2.8119 N (idx 724)
  time=17.730 s | disp=88.431 mm | residual=0.0896 N (idx 768)
  time=17.950 s | disp=89.531 mm | residual=-0.8920 N (idx 790)
  time=18.090 s | disp=90.231 mm | residual=0.2620 N (idx 804)
  time=18.230 s | disp=90.931 mm | residual=-0.6618 N (idx 818)
  time=19.080 s | disp=95.181 mm | residual=2.3986 N (idx 903)
  time=19.380 s | disp=96.681 mm | residual=-1.4739 N (idx 933)
  time=20.100 s | disp=100.281 mm | residual=2.7148 N (idx 1005)
  time=21.160 s | disp=105.581 mm | residual=-2.1514 N (idx 1111)
  time=22.480 s | disp=112.181 mm | residual=-2.7110 N (idx 1243)
  time=24.430 s | disp=121.931 mm | residual=0.7228 N (idx 1438)
  time=27.270 s | disp=136.131 mm | residual=7.8871 N (idx 1722)
  time=28.490 s | disp=142.231 mm | residual=-3.2290 N (idx 1844)
  time=31.780 s | disp=158.681 mm | residual=-1.7415 N (idx 2173)
  time=33.360 s | disp=166.581 mm | residual=-4.0105 N (idx 2331)
  time=34.550 s | disp=172.531 mm | residual=4.9668 N (idx 2450)
  time=35.380 s | disp=176.681 mm | residual=-2.8079 N (idx 2533)
  time=36.400 s | disp=181.781 mm | residual=5.5756 N (idx 2635)
  time=37.090 s | disp=185.231 mm | residual=-2.5127 N (idx 2704)
  time=38.210 s | disp=190.831 mm | residual=7.5680 N (idx 2816)
  time=39.740 s | disp=198.481 mm | residual=-4.4453 N (idx 2969)

Summary for 20250602_U2E_rossella_external
  1_1: 33 spikes
  1_2: 16 spikes
  1_3: 16 spikes
  1_4: 22 spikes
  1_5: 13 spikes
  1_6: 16 spikes
  1_7: 19 spikes
  1_8: 5 spikes
  1_9: 11 spikes
  1_10: 26 spikes
  Total: 177 spikes

