"1 _ 1",,,"1 _ 2",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,67","17,21668","3,13125","0,67","0,3479322","3,131125","0,67","0,2010663","3,131375","0,67","0,3980001","3,131125","0,67","0,3520648","3,13125","0,67","0,4811287","3,13125","0,67","0,4162788","3,13125","0,67","0,05102158","3,131375","0,67","0,3465017","3,131375"
"0,68","17,34511","3,181","0,68","0,3627141","3,181375","0,68","0,2053579","3,181375","0,68","0,4111926","3,181","0,68","0,3563563","3,181125","0,68","0,4997253","3,181375","0,68","0,4337629","3,181375","0,68","0,05896886","3,18125","0,68","0,3638268","3,181375"
"0,69","17,47529","3,231125","0,69","0,3746351","3,231375","0,69","0,213782","3,23125","0,69","0,4254977","3,231375","0,69","0,3627141","3,231125","0,69","0,5194346","3,2315","0,69","0,453949","3,231375","0,69","0,05880992","3,23125","0,69","0,3789266","3,23125"
"0,7","17,60244","3,28125","0,7","0,3852844","3,28125","0,7","0,2206167","3,28125","0,7","0,4348755","3,28125","0,7","0,3698667","3,28125","0,7","0,5381902","3,281375","0,7","0,4771551","3,28125","0,7","0,0576973","3,281125","0,7","0,3927549","3,281125"
"0,71","17,72388","3,331125","0,71","0,3951391","3,331125","0,71","0,2296766","3,331375","0,71","0,4461606","3,331","0,71","0,3743172","3,331125","0,71","0,5540848","3,33125","0,71","0,5009969","3,33125","0,71","0,06198883","3,33125","0,71","0,4064242","3,33125"
"0,72","17,83991","3,381","0,72","0,4048347","3,381375","0,72","0,2404849","3,381375","0,72","0,4603068","3,381","0,72","0,3844897","3,381125","0,72","0,5655289","3,381375","0,72","0,5235672","3,381375","0,72","0,06532669","3,38125","0,72","0,4194578","3,3815"
"0,73","17,95212","3,431","0,73","0,4167557","3,431375","0,73","0,2463659","3,431375","0,73","0,468413","3,43125","0,73","0,3987948","3,431125","0,73","0,5728404","3,4315","0,73","0,5456607","3,43125","0,73","0,06516775","3,43125","0,73","0,4293124","3,43125"
"0,74","18,05973","3,48125","0,74","0,4297892","3,48125","0,74","0,2527237","3,48125","0,74","0,4785856","3,48125","0,74","0,4088084","3,48125","0,74","0,576814","3,4815","0,74","0,5687078","3,481125","0,74","0,0611941","3,481","0,74","0,4366239","3,481125"
"0,75","18,16018","3,531125","0,75","0,442028","3,531125","0,75","0,2614657","3,531375","0,75","0,4928907","3,531","0,75","0,4202525","3,531125","0,75","0,5750656","3,531125","0,75","0,591437","3,531375","0,75","0,05340576","3,531375","0,75","0,4453659","3,531375"
"0,76","18,25412","3,581","0,76","0,4536311","3,5815","0,76","0,2657572","3,5815","0,76","0,5025864","3,581","0,76","0,433445","3,581","0,76","0,5644162","3,58125","0,76","0,6109874","3,581375","0,76","0,04816055","3,581375","0,76","0,4583994","3,581375"
"0,77","18,34186","3,631125","0,77","0,465552","3,631375","0,77","0,2717972","3,63125","0,77","0,5114873","3,63125","0,77","0,442187","3,631125","0,77","0,5440712","3,6315","0,77","0,6264051","3,631375","0,77","0,05133947","3,63125","0,77","0,4747709","3,63125"
"0,78","18,42197","3,681125","0,78","0,4769961","3,681375","0,78","0,2851486","3,68125","0,78","0,5238851","3,681125","0,78","0,4525185","3,681125","0,78","0,5138715","3,681375","0,78","0,6364186","3,68125","0,78","0,06087621","3,68125","0,78","0,4901886","3,681125"
"0,79","18,49794","3,73125","0,79","0,4882813","3,73125","0,79","0,2924601","3,7315","0,79","0,5321503","3,731125","0,79","0,4674594","3,731125","0,79","0,4755656","3,73125","0,79","0,6421407","3,731375","0,79","0,0723203","3,73125","0,79","0,5056064","3,731375"
"0,8","18,57805","3,781","0,8","0,5002022","3,781375","0,8","0,2964338","3,781375","0,8","0,5408923","3,781","0,8","0,480175","3,781125","0,8","0,4326502","3,781375","0,8","0,6429355","3,781375","0,8","0,08201599","3,781375","0,8","0,5218188","3,781375"
"0,81","18,665","3,831125","0,81","0,5103747","3,831375","0,81","0,3070831","3,83125","0,81","0,5569458","3,831125","0,81","0,4925728","3,83125","0,81","0,3905296","3,8315","0,81","0,6378492","3,831375","0,81","0,08551279","3,831375","0,81","0,5305608","3,83125"
"0,82","18,75607","3,88125","0,82","0,5167325","3,88125","0,82","0,3158251","3,88125","0,82","0,5702972","3,881125","0,82","0,5081494","3,88125","0,82","0,3527006","3,88125","0,82","0,6264051","3,881375","0,82","0,08424123","3,88125","0,82","0,5218188","3,88125"
"0,83","18,85048","3,931125","0,83","0,5219777","3,931375","0,83","0,3218651","3,931375","0,83","0,5822182","3,931","0,83","0,5218188","3,93125","0,83","0,3205935","3,931125","0,83","0,6093979","3,931375","0,83","0,08312861","3,931375","0,83","0,4970233","3,931375"
"0,84","18,9449","3,981125","0,84","0,5297661","3,9815","0,84","0,3356934","3,981375","0,84","0,6025632","3,981125","0,84","0,5397797","3,981125","0,84","0,2938906","3,9815","0,84","0,5869865","3,9815","0,84","0,08122126","3,98125","0,84","0,4636447","3,98125"
"0,85","19,03359","4,031125","0,85","0,538667","4,031375","0,85","0,3507932","4,03125","0,85","0,6213188","4,03125","0,85","0,5668004","4,03125","0,85","0,2713203","4,0315","0,85","0,5580584","4,0315","0,85","0,07677078","4,03125","0,85","0,4175504","4,03125"
"0,86","19,11545","4,08125","0,86","0,5482038","4,081375","0,86","0,3622373","4,08125","0,86","0,6367366","4,08125","0,86","0,5933444","4,08125","0,86","0,2539953","4,081375","0,86","0,5238851","4,08125","0,86","0,07200241","4,08125","0,86","0,3560384","4,081125"
"0,87","19,19524","4,13125","0,87","0,5572637","4,13125","0,87","0,3786087","4,131375","0,87","0,658989","4,131125","0,87","0,6200473","4,13125","0,87","0,2420743","4,13125","0,87","0,486215","4,131375","0,87","0,06882349","4,131375","0,87","0,2908707","4,131375"
"0,88","19,27376","4,181125","0,88","0,5660057","4,1815","0,88","0,395298","4,1815","0,88","0,6818771","4,181125","0,88","0,6521543","4,181125","0,88","0,2344449","4,181375","0,88","0,4469554","4,1815","0,88","0,06834666","4,181375","0,88","0,2357165","4,181375"
"0,89","19,34799","4,231125","0,89","0,5760193","4,231375","0,89","0,4043579","4,23125","0,89","0,6982486","4,23125","0,89","0,6796519","4,23125","0,89","0,2307892","4,231625","0,89","0,4083315","4,231375","0,89","0,07279714","4,23125","0,89","0,1923243","4,231375"
"0,9","19,41586","4,28125","0,9","0,588576","4,281125","0,9","0,4170736","4,28125","0,9","0,7170041","4,281125","0,9","0,6985664","4,281375","0,9","0,2304713","4,2815","0,9","0,3727277","4,281375","0,9","0,08122126","4,281125","0,9","0,1594226","4,28125"
"0,91","19,47594","4,331125","0,91","0,6036758","4,33125","0,91","0,4348755","4,331375","0,91","0,7335345","4,331","0,91","0,7157326","4,33125","0,91","0,2307892","4,331375","0,91","0,3420512","4,33125","0,91","0,09028117","4,331375","0,91","0,1390775","4,323125"
"0,92","19,52807","4,381125","0,92","0,6197293","4,381375","0,92","0,4475912","4,381375","0,92","0,7383029","4,381125","0,92","0,7308324","4,381125","0,92","0,2288818","4,381375","0,92","0,3147125","4,3815","0,92","0,1001358","4,3815","0,92","0,1247724","4,3345"
"0,93","19,57718","4,431","0,93","0,6367366","4,431375","0,93","0,4615784","4,43125","0,93","0,7328987","4,431125","0,93","0,7487933","4,431125","0,93","0,2276103","4,4315","0,93","0,289917","4,4315","0,93","0,1085599","4,431375",,,
"0,94","19,63075","4,48125","0,94","0,6545385","4,48125","0,94","0,4787445","4,481125","0,94","0,7130305","4,481125","0,94","0,7828076","4,481375","0,94","0,2296766","4,481625","0,94","0,2686183","4,48125","0,94","0,1109441","4,481125",,,
"0,95","19,69067","4,53125","0,95","0,6712278","4,53125","0,95","0,4913012","4,531375","0,95","0,6712278","4,531125","0,95","0,8241336","4,53125","0,95","0,2339681","4,531375","0,95","0,2527237","4,531375","0,95","0,1098315","4,531375",,,
