"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,,"1 _ 11",,,"1 _ 12",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,34","0,0111262","1,481","0,34","0,004927317","1,481","0,34","0,0128746","1,481","0,34","0,02590815","1,481","0,34","0,02861023","1,481","0,34","-0,0003178914","1,481","0,34","0,01907349","1,481","0,34","0,0298818","1,481","0,34","0,1066526","1,481125","0,34","0,03019969","1,480875","0,34","0,009695689","1,481","0,34","0,0128746","1,481"
"0,35","0,009536743","1,531","0,35","0,005722046","1,531","0,35","0,01398722","1,531125","0,35","0,02749761","1,531","0,35","0,0298818","1,531","0,35","0,001271566","1,531125","0,35","0,01716614","1,531","0,35","0,03274282","1,531","0,35","0,1128515","1,531125","0,35","0,02670288","1,531","0,35","0,009218852","1,531","0,35","0,01319249","1,530875"
"0,36","0,0111262","1,581125","0,36","0,009218852","1,581125","0,36","0,01446406","1,581125","0,36","0,03226598","1,581","0,36","0,03576279","1,581125","0,36","0,006357829","1,581125","0,36","0,0184377","1,581","0,36","0,03671646","1,581","0,36","0,120163","1,58125","0,36","0,02638499","1,580875","0,36","0,01080831","1,581125","0,36","0,0166893","1,581125"
"0,37","0,01351039","1,631125","0,37","0,009695689","1,631","0,37","0,01366933","1,631125","0,37","0,0354449","1,631125","0,37","0,03941854","1,631125","0,37","0,006357829","1,631","0,37","0,01955032","1,631125","0,37","0,03592173","1,631125","0,37","0,1244545","1,63125","0,37","0,02797445","1,631","0,37","0,01080831","1,631125","0,37","0,01796087","1,631"
"0,38","0,01446406","1,681125","0,38","0,009218852","1,681125","0,38","0,01239777","1,681","0,38","0,035127","1,681","0,38","0,03973643","1,681125","0,38","0,00333786","1,681125","0,38","0,02082189","1,681125","0,38","0,03417333","1,681125","0,38","0,1279513","1,681","0,38","0,0298818","1,681","0,38","0,01001358","1,681125","0,38","0,01716614","1,681125"
"0,39","0,01509984","1,731","0,39","0,01319249","1,731","0,39","0,01271566","1,73125","0,39","0,03496806","1,731","0,39","0,04021327","1,730875","0,39","0,005245209","1,730875","0,39","0,0243187","1,731","0,39","0,03671646","1,731","0,39","0,1374881","1,73125","0,39","0,03147125","1,731","0,39","0,01207987","1,730875","0,39","0,0166893","1,731"
"0,4","0,01605352","1,781125","0,4","0,01716614","1,781125","0,4","0,01239777","1,781125","0,4","0,035127","1,781125","0,4","0,04053116","1,78125","0,4","0,009218852","1,78125","0,4","0,02590815","1,781125","0,4","0,041008","1,781125","0,4","0,1497269","1,78125","0,4","0,03178914","1,781","0,4","0,01478195","1,781125","0,4","0,01446406","1,78125"
"0,41","0,01637141","1,831125","0,41","0,01589457","1,831125","0,41","0,01049042","1,831125","0,41","0,03751119","1,831125","0,41","0,041008","1,831125","0,41","0,008424123","1,83125","0,41","0,0240008","1,831125","0,41","0,04227956","1,831125","0,41","0,1594226","1,83125","0,41","0,03099442","1,831","0,41","0,01430511","1,831125","0,41","0,01160304","1,831125"
"0,42","0,0166893","1,881125","0,42","0,01366933","1,881125","0,42","0,01033147","1,88125","0,42","0,04069011","1,881125","0,42","0,04529953","1,881125","0,42","0,007629395","1,881125","0,42","0,02479553","1,881125","0,42","0,04339218","1,881125","0,42","0,166893","1,88125","0,42","0,03194809","1,881125","0,42","0,01398722","1,881125","0,42","0,01239777","1,881125"
"0,43","0,0166893","1,931125","0,43","0,01557668","1,931125","0,43","0,01207987","1,93125","0,43","0,04212062","1,931","0,43","0,0500679","1,931125","0,43","0,009218852","1,931125","0,43","0,02717972","1,931125","0,43","0,04577637","1,931125","0,43","0,1743634","1,93125","0,43","0,03353755","1,931125","0,43","0,01478195","1,931125","0,43","0,01589457","1,931125"
"0,44","0,01557668","1,98125","0,44","0,01716614","1,981125","0,44","0,01207987","1,98125","0,44","0,04148483","1,981125","0,44","0,0500679","1,981125","0,44","0,007947286","1,98125","0,44","0,02670288","1,981125","0,44","0,04736583","1,981125","0,44","0,1832644","1,981375","0,44","0,0333786","1,981125","0,44","0,01366933","1,98125","0,44","0,0166893","1,981125"
"0,45","0,01557668","2,031125","0,45","0,01716614","2,031125","0,45","0,01049042","2,031125","0,45","0,04307429","2,031125","0,45","0,04895528","2,03125","0,45","0,006516775","2,03125","0,45","0,02622604","2,031125","0,45","0,04816055","2,031125","0,45","0,1950264","2,031375","0,45","0,03306071","2,031125","0,45","0,01207987","2,03125","0,45","0,01557668","2,031125"
"0,46","0,01875559","2,08125","0,46","0,0166893","2,08125","0,46","0,01160304","2,08125","0,46","0,04657109","2,08125","0,46","0,05102158","2,08125","0,46","0,009218852","2,08125","0,46","0,02861023","2,08125","0,46","0,04943212","2,08125","0,46","0,2066294","2,081375","0,46","0,03465017","2,08125","0,46","0,01319249","2,08125","0,46","0,01748403","2,08125"
"0,47","0,02145767","2,131125","0,47","0,01716614","2,131125","0,47","0,01398722","2,13125","0,47","0,04863739","2,131125","0,47","0,05372365","2,131125","0,47","0,009218852","2,131125","0,47","0,03035863","2,131125","0,47","0,05054474","2,131125","0,47","0,2164841","2,131375","0,47","0,03592173","2,13125","0,47","0,01398722","2,131125","0,47","0,02002716","2,131"
"0,48","0,02145767","2,18125","0,48","0,01748403","2,18125","0,48","0,01430511","2,18125","0,48","0,04816055","2,18125","0,48","0,05531311","2,18125","0,48","0,004927317","2,181125","0,48","0,03115336","2,18125","0,48","0,0521342","2,18125","0,48","0,2272924","2,181375","0,48","0,03576279","2,18125","0,48","0,01207987","2,18125","0,48","0,02113978","2,181125"
"0,49","0,02272924","2,23125","0,49","0,01764297","2,231125","0,49","0,01430511","2,231125","0,49","0,04863739","2,231125","0,49","0,05817413","2,23125","0,49","0,006357829","2,231125","0,49","0,03306071","2,231125","0,49","0,05642573","2,231125","0,49","0,2404849","2,2315","0,49","0,03623962","2,231125","0,49","0,01080831","2,23125","0,49","0,02241135","2,231125"
"0,5","0,02670288","2,281125","0,5","0,01748403","2,281125","0,5","0,01589457","2,281125","0,5","0,05054474","2,28125","0,5","0,06055832","2,28125","0,5","0,01192093","2,28125","0,5","0,03417333","2,28125","0,5","0,06087621","2,28125","0,5","0,2551079","2,281375","0,5","0,03814697","2,28125","0,5","0,0128746","2,281125","0,5","0,02384186","2,281125"
"0,51","0,02908707","2,331125","0,51","0,01605352","2,331125","0,51","0,01796087","2,33125","0,51","0,0518163","2,331125","0,51","0,05880992","2,331125","0,51","0,01271566","2,331125","0,51","0,03306071","2,33125","0,51","0,0629425","2,331125","0,51","0,2678235","2,3315","0,51","0,04021327","2,33125","0,51","0,01557668","2,331125","0,51","0,02272924","2,331125"
