"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,,"1 _ 11",,,"1 _ 12",,,"1 _ 13",,,"1 _ 14",,,"1 _ 15",,,"1 _ 16",,,"1 _ 17",,,"1 _ 18",,,"1 _ 19",,,"1 _ 20",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,18","0,5799929","0,6792501","0,18","0,4878044","0,679625","0,18","0,3277461","0,6795","0,18","0,1626015","0,679625","0,18","0,2616247","0,6795","0,18","0,2210935","0,6795","0,18","0,3415743","0,6795","0,18","0,3050168","0,6793751","0,18","0,0243187","0,6795","0,18","0,0240008","0,6795","0,18","0,1058578","0,6795","0,18","0,05610784","0,6792501","0,18","0,3169378","0,679625","0,18","0,06024043","0,6792501","0,18","0,1304944","0,6795","0,18","0,1413027","0,6793751","0,18","0,06739298","0,6793751","0,18","0,00890096","0,6795","0,18","0,005245209","0,6795","0,18","0,006993612","0,6795"
"0,19","0,6202062","0,72975","0,19","0,5057653","0,729625","0,19","0,3474554","0,72975","0,19","0,1681646","0,729625","0,19","0,2679825","0,729625","0,19","0,2311071","0,729625","0,19","0,371774","0,72975","0,19","0,3275871","0,72975","0,19","0,02876917","0,729625","0,19","0,02924601","0,729625","0,19","0,1138051","0,729875","0,19","0,06341934","0,729625","0,19","0,3323555","0,72975","0,19","0,07041296","0,729625","0,19","0,1379649","0,729625","0,19","0,1487732","0,72975","0,19","0,07645289","0,729625","0,19","0,01239777","0,729625","0,19","0,008583069","0,72975","0,19","-0,003496806","0,729625"
"0,2","0,6561279","0,779875","0,2","0,5172094","0,78","0,2","0,3670057","0,779875","0,2","0,1749992","0,77975","0,2","0,2700488","0,78","0,2","0,2393723","0,78","0,2","0,3999074","0,779875","0,2","0,3476143","0,779875","0,2","0,02876917","0,78","0,2","0,03035863","0,779875","0,2","0,120163","0,78","0,2","0,06564458","0,78","0,2","0,3399849","0,77975","0,2","0,07359187","0,780125","0,2","0,1428922","0,779875","0,2","0,1506805","0,779875","0,2","0,08233389","0,779875","0,2","0,01335144","0,779875","0,2","0,009377797","0,78","0,2","-0,01223882","0,779875"
"0,21","0,6926854","0,8298751","0,21","0,5272229","0,830375","0,21","0,3860792","0,83","0,21","0,1810392","0,83025","0,21","0,2767245","0,83025","0,21","0,2498627","0,83025","0,21","0,4286766","0,830125","0,21","0,3681183","0,830125","0,21","0,03083547","0,830125","0,21","0,03306071","0,830125","0,21","0,1276334","0,83","0,21","0,06659826","0,83","0,21","0,3474554","0,830375","0,21","0,07836024","0,830125","0,21","0,1482964","0,830125","0,21","0,1543363","0,830125","0,21","0,08646647","0,830125","0,21","0,01366933","0,83","0,21","0,01128515","0,83","0,21","-0,01192093","0,83"
"0,22","0,7303556","0,880125","0,22","0,5410512","0,880375","0,22","0,4080137","0,88025","0,22","0,1837413","0,880375","0,22","0,2934138","0,88025","0,22","0,2608299","0,88025","0,22","0,4620552","0,88025","0,22","0,3876686","0,88025","0,22","0,03639857","0,88025","0,22","0,03782908","0,880375","0,22","0,1368523","0,880375","0,22","0,07120768","0,880125","0,22","0,3587405","0,880375","0,22","0,08916855","0,88025","0,22","0,1548131","0,880375","0,22","0,1646678","0,88025","0,22","0,09314219","0,88025","0,22","0,01970927","0,880375","0,22","0,01653036","0,880375","0,22","-0,0007947286","0,880375"
"0,23","0,7624626","0,9305","0,23","0,5542437","0,930375","0,23","0,4321734","0,9305","0,23","0,184536","0,930375","0,23","0,3085136","0,930375","0,23","0,2679825","0,930375","0,23","0,4943212","0,9305","0,23","0,4014969","0,9305","0,23","0,03989537","0,930375","0,23","0,03910065","0,930375","0,23","0,1432101","0,9305","0,23","0,07359187","0,930375","0,23","0,3666878","0,930375","0,23","0,09822845","0,9305","0,23","0,1602173","0,93025","0,23","0,1737277","0,93025","0,23","0,09870529","0,930375","0,23","0,0243187","0,9305","0,23","0,02082189","0,9305","0,23","0,01128515","0,9305"
"0,24","0,790755","0,9805","0,24","0,5669594","0,98075","0,24","0,4545847","0,9805","0,24","0,1896222","0,9805","0,24","0,316143","0,98075","0,24","0,275294","0,980625","0,24","0,5243619","0,9803751","0,24","0,4094442","0,980625","0,24","0,04339218","0,980625","0,24","0,041008","0,9805","0,24","0,1484553","0,9805","0,24","0,07534027","0,9805","0,24","0,3728867","0,9805","0,24","0,1050631","0,980625","0,24","0,1641909","0,980625","0,24","0,1805623","0,9803751","0,24","0,1029968","0,9805","0,24","0,02113978","0,9805","0,24","0,0240008","0,980625","0,24","0,02352397","0,9805"
"0,25","0,8196831","1,030375","0,25","0,585556","1,03075","0,25","0,4779498","1,0305","0,25","0,1975695","1,03075","0,25","0,3256798","1,030625","0,25","0,2867381","1,03075","0,25","0,5550385","1,030625","0,25","0,4173914","1,030625","0,25","0,04911423","1,03075","0,25","0,04816055","1,030875","0,25","0,1579921","1,0305","0,25","0,08090337","1,030625","0,25","0,3832181","1,030875","0,25","0,1158714","1,030625","0,25","0,1710256","1,030625","0,25","0,1908938","1,03075","0,25","0,1111031","1,03075","0,25","0,01764297","1,030625","0,25","0,02829234","1,030625","0,25","0,03639857","1,03075"
"0,26","0,8468628","1,080625","0,26","0,6074905","1,080875","0,26","0,5029042","1,08075","0,26","0,2009074","1,080875","0,26","0,3399849","1,08075","0,26","0,2962748","1,080875","0,26","0,5836487","1,08075","0,26","0,4297892","1,08075","0,26","0,05340576","1,080875","0,26","0,05420049","1,08075","0,26","0,1686414","1,080625","0,26","0,0872612","1,0805","0,26","0,3967285","1,080875","0,26","0,1257261","1,080625","0,26","0,1794497","1,08075","0,26","0,2012253","1,080625","0,26","0,1190503","1,08075","0,26","0,01637141","1,080875","0,26","0,03083547","1,081","0,26","0,04418691","1,080875"
"0,27","0,8703868","1,13075","0,27","0,6257693","1,13075","0,27","0,5216599","1,130875","0,27","0,2012253","1,130625","0,27","0,3530184","1,130625","0,27","0,2999306","1,130625","0,27","0,606219","1,13075","0,27","0,4456838","1,130875","0,27","0,05578995","1,13075","0,27","0,05706151","1,13075","0,27","0,1762708","1,131","0,27","0,09155273","1,13075","0,27","0,4072189","1,13075","0,27","0,1316071","1,131","0,27","0,1858075","1,13075","0,27","0,2075831","1,13075","0,27","0,1217524","1,130875","0,27","0,01525879","1,130875","0,27","0,03083547","1,131","0,27","0,04418691","1,130875"
