"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,38","0,01017253","1,68125","0,38","0,006516775","1,68125","0,38","0,004132589","1,681125","0,38","0,005722046","1,681125","0,38","0,004132589","1,68125","0,38","0,00222524","1,681125","0,38","0,006993612","1,68125","0,38","0,0009536743","1,681125","0,38","0,003655751","1,681125"
"0,39","0,007311503","1,731125","0,39","0,004609426","1,73125","0,39","0,003814697","1,73125","0,39","0,003655751","1,73125","0,39","0,002861023","1,731125","0,39","0,00445048","1,73125","0,39","0,007311503","1,731125","0,39","0,0004768372","1,73125","0,39","0,006834666","1,731125"
"0,4","0,007311503","1,78125","0,4","0,002543132","1,78125","0,4","0,0001589457","1,78125","0,4","0,002861023","1,781125","0,4","0,00333786","1,781125","0,4","0,005722046","1,78125","0,4","0,006516775","1,78125","0,4","-0,0003178914","1,78125","0,4","0,008106232","1,78125"
"0,41","0,01176198","1,83125","0,41","0,00333786","1,831125","0,41","0,001430511","1,831125","0,41","0,00333786","1,83125","0,41","0,004609426","1,831125","0,41","0,005404154","1,83125","0,41","0,006198883","1,83125","0,41","-0,0003178914","1,831125","0,41","0,006039937","1,831125"
"0,42","0,01255671","1,881125","0,42","0,00445048","1,881125","0,42","0,003655751","1,88125","0,42","0,004927317","1,88125","0,42","0,004609426","1,88125","0,42","0,005404154","1,88125","0,42","0,006516775","1,881125","0,42","0,002066294","1,88125","0,42","0,003655751","1,881125"
"0,43","0,01049042","1,93125","0,43","0,004927317","1,93125","0,43","0,001430511","1,93125","0,43","0,006993612","1,93125","0,43","0,005404154","1,93125","0,43","0,005404154","1,931375","0,43","0,006198883","1,93125","0,43","0,00445048","1,93125","0,43","0,00445048","1,93125"
"0,44","0,01176198","1,981375","0,44","0,005404154","1,981375","0,44","0,003814697","1,98125","0,44","0,008583069","1,981375","0,44","0,006516775","1,98125","0,44","0,004927317","1,98125","0,44","0,005404154","1,98125","0,44","0,005722046","1,98125","0,44","0,005404154","1,981375"
"0,45","0,01319249","2,031125","0,45","0,006039937","2,031125","0,45","0,006993612","2,031","0,45","0,00890096","2,031125","0,45","0,005722046","2,031125","0,45","0,005404154","2,031125","0,45","0,005404154","2,031125","0,45","0,007311503","2,031","0,45","0,003655751","2,031125"
"0,46","0,01239777","2,08125","0,46","0,006198883","2,08125","0,46","0,005245209","2,08125","0,46","0,007311503","2,08125","0,46","0,00445048","2,08125","0,46","0,006039937","2,081125","0,46","0,006516775","2,08125","0,46","0,00778834","2,08125","0,46","0,00222524","2,08125"
"0,47","0,01239777","2,13125","0,47","0,006993612","2,13125","0,47","0,003019969","2,13125","0,47","0,00222524","2,13125","0,47","0,00333786","2,13125","0,47","0,004927317","2,13125","0,47","0,006516775","2,13125","0,47","0,006198883","2,13125","0,47","0,00333786","2,13125"
"0,48","0,01255671","2,181375","0,48","0,008424123","2,18125","0,48","0,003019969","2,181375","0,48","0","2,181375","0,48","0,00222524","2,181375","0,48","0,004609426","2,18125","0,48","0,006198883","2,181375","0,48","0,006039937","2,181375","0,48","0,004927317","2,181375"
"0,49","0,01080831","2,23125","0,49","0,009695689","2,23125","0,49","0,003814697","2,23125","0,49","0,005722046","2,231125","0,49","0,001748403","2,231125","0,49","0,005245209","2,23125","0,49","0,006834666","2,231125","0,49","0,007311503","2,231125","0,49","0,007311503","2,231125"
"0,5","0,01096725","2,281125","0,5","0,01017253","2,281125","0,5","0,005245209","2,281125","0,5","0,01176198","2,281125","0,5","0,001748403","2,281125","0,5","0,004132589","2,281125","0,5","0,006516775","2,281125","0,5","0,006834666","2,281125","0,5","0,01080831","2,281125"
"0,51","0,01335144","2,33125","0,51","0,008424123","2,33125","0,51","0,003655751","2,33125","0,51","0,01128515","2,33125","0,51","0,0006357829","2,33125","0,51","0,004132589","2,33125","0,51","0,005722046","2,33125","0,51","0,003814697","2,33125","0,51","0,01255671","2,331375"
"0,52","0,01080831","2,38125","0,52","0,007311503","2,38125","0,52","0,0001589457","2,38125","0,52","0,008583069","2,38125","0,52","0,0004768372","2,38125","0,52","0,005245209","2,38125","0,52","0,006834666","2,38125","0,52","0,002861023","2,38125","0,52","0,01160304","2,38125"
"0,53","0,005404154","2,43125","0,53","0,009377797","2,43125","0,53","0,001271566","2,431125","0,53","0,005245209","2,431125","0,53","0,003019969","2,431125","0,53","0,003814697","2,431125","0,53","0,01017253","2,431125","0,53","0,006516775","2,431125","0,53","0,01001358","2,43125"
"0,54","0,006198883","2,481125","0,54","0,01207987","2,48125","0,54","0,004609426","2,481125","0,54","0,00333786","2,481125","0,54","0,006516775","2,48125","0,54","0,00222524","2,48125","0,54","0,01207987","2,48125","0,54","0,01080831","2,481125","0,54","0,009218852","2,481125"
"0,55","0,01049042","2,531125","0,55","0,01366933","2,53125","0,55","0,00445048","2,53125","0,55","0,006516775","2,53125","0,55","0,00778834","2,53125","0,55","0,004132589","2,53125","0,55","0,01207987","2,531125","0,55","0,009218852","2,53125","0,55","0,006516775","2,53125"
"0,56","0,01001358","2,581375","0,56","0,01525879","2,581375","0,56","0,002543132","2,581375","0,56","0,006834666","2,581375","0,56","0,007629395","2,581375","0,56","0,005404154","2,581375","0,56","0,01160304","2,581375","0,56","0,006198883","2,581375","0,56","0,002543132","2,581375"
"0,57","0,008424123","2,631125","0,57","0,0149409","2,631125","0,57","0,00333786","2,631125","0,57","0,00333786","2,63125","0,57","0,005245209","2,631125","0,57","0,002543132","2,631125","0,57","0,01001358","2,631125","0,57","0,007629395","2,631125","0,57","0,0004768372","2,631125"
"0,58","0,01176198","2,68125","0,58","0,01319249","2,68125","0,58","0,00222524","2,68125","0,58","0,00445048","2,68125","0,58","0,002066294","2,68125","0,58","0,0006357829","2,68125","0,58","0,006993612","2,68125","0,58","0,01001358","2,68125","0,58","0","2,681125"
"0,59","0,0149409","2,73125","0,59","0,01080831","2,73125","0,59","0,0009536743","2,73125","0,59","0,004609426","2,73125","0,59","0,001271566","2,73125","0,59","0,001271566","2,73125","0,59","0,006039937","2,73125","0,59","0,009377797","2,73125","0,59","-0,0007947286","2,73125"
"0,6","0,01160304","2,78125","0,6","0,009218852","2,78125","0,6","0,003655751","2,781125","0,6","0,00222524","2,781125","0,6","0,002066294","2,781125","0,6","0,0004768372","2,78125","0,6","0,006993612","2,781125","0,6","0,009218852","2,781125","0,6","-0,0003178914","2,78125"
"0,61","0,006993612","2,831125","0,61","0,00890096","2,831125","0,61","0,004927317","2,83125","0,61","0,005245209","2,83125","0,61","0,001430511","2,83125","0,61","0,0006357829","2,83125","0,61","0,008424123","2,83125","0,61","0,009218852","2,831125","0,61","0,002861023","2,83125"
"0,62","0,006516775","2,88125","0,62","0,009377797","2,881125","0,62","0,00333786","2,881125","0,62","0,007629395","2,88125","0,62","0,0006357829","2,881125","0,62","0,00445048","2,881125","0,62","0,008424123","2,881125","0,62","0,00890096","2,88125","0,62","0,005722046","2,881125"
"0,63","0,008424123","2,93125","0,63","0,01049042","2,93125","0,63","0,004132589","2,93125","0,63","0,004609426","2,93125","0,63","0,0009536743","2,93125","0,63","0,005722046","2,93125","0,63","0,008106232","2,93125","0,63","0,01049042","2,931375","0,63","0,007629395","2,93125"
