figure,liner,liner_label,sealant,side,side_label,dataset_file,replicate,total_replicates_in_file,valid_release_window,mean_release_cN_25mm,sd_trace_cN_25mm,n_samples_50_200mm,disp_min_used_mm,disp_max_used_mm,peak_count_1p4cN,max_abs_residual_cN_25mm,noise_std_cN_25mm,noise_max_abs_cN_25mm,noise_samples,instrument_peak_hz,filter_cutoff_hz
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_6,10,1,6.817350,1.089116,3000,50.031250,199.981300,4,3.001832,0.060031,0.157346,80,5.000000,4.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_7,10,1,5.523658,0.365698,3000,50.031250,199.981300,0,0.246070,0.058390,0.124688,80,5.000000,4.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_8,10,1,5.738436,0.150138,3000,50.031250,199.981300,0,0.331562,0.064469,0.186854,80,5.000000,4.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_9,10,1,6.700520,0.678109,3000,50.031250,199.981300,2,1.872686,0.070132,0.162664,80,5.000000,4.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_10,10,1,6.208895,0.757111,3000,50.031250,199.981300,3,1.781751,0.052942,0.148349,80,5.000000,4.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_1,10,1,7.261390,0.337224,3000,50.031250,199.981300,0,0.336634,0.079005,0.260011,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_2,10,1,6.515672,0.165804,3000,50.031250,199.981300,0,0.277646,0.080255,0.171255,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_3,10,1,7.082964,0.640897,3000,50.031250,199.981300,4,4.527788,0.082864,0.236459,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_4,10,1,6.732952,0.304931,3000,50.031250,199.981300,0,0.509009,0.047114,0.097841,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_5,10,1,7.391400,0.317984,3000,50.031250,199.981300,1,1.423606,0.116478,0.400876,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_6,10,1,7.342798,3.006316,3000,50.031130,199.981300,1,31.243768,0.062351,0.163663,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_7,10,1,6.754862,0.379517,3000,50.031250,199.981300,1,1.422852,0.038790,0.100401,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_8,10,1,6.660962,1.312212,3000,50.031250,199.981300,1,9.928212,0.051367,0.120898,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_9,10,1,7.408873,0.273245,3000,50.031250,199.981300,0,0.805106,0.053615,0.140789,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,1_10,10,1,6.820047,0.154024,3000,50.031250,199.981400,0,0.341508,0.044716,0.109566,80,10.000000,8.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_1,10,1,6.339755,0.173712,3000,50.031250,199.981300,0,0.401180,0.062167,0.137936,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_2,10,1,7.093219,0.774946,3000,50.031250,199.981400,1,2.258119,0.091313,0.190754,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_3,10,1,8.280504,4.074899,3000,50.031250,199.981300,6,25.475386,0.080649,0.230707,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_4,10,1,7.255545,1.319793,3000,50.031250,199.981300,7,6.504603,0.068146,0.172518,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_5,10,1,8.061621,1.407042,3000,50.031250,199.981300,12,9.088492,0.071224,0.201334,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_6,10,1,6.131315,0.222540,3000,50.031250,199.981300,0,0.881000,0.053635,0.134728,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_7,10,1,7.006382,0.204399,3000,50.031130,199.981300,0,0.431595,0.053996,0.126683,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_8,10,1,7.311842,1.156959,3000,50.031130,199.981300,11,3.250758,0.059567,0.170505,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_9,10,1,6.614438,0.208427,3000,50.031250,199.981300,0,0.390305,0.060679,0.137361,80,22.500000,18.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,1_10,10,1,6.333952,0.173071,3000,50.031250,199.981400,0,1.060629,0.085937,0.205739,80,22.500000,18.000000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_1,10,1,7.768497,1.005882,3000,50.031380,199.981100,1,8.595935,0.042823,0.125840,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_2,10,1,8.144081,0.750277,3000,50.031380,199.981300,4,1.776259,0.055404,0.130436,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_3,10,1,7.444368,0.870647,3000,50.031380,199.981300,0,1.363185,0.069180,0.182789,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_4,10,1,7.126324,0.970054,3000,50.031250,199.981300,0,0.711182,0.222931,0.497475,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_5,10,1,7.242972,0.567383,3000,50.031250,199.981100,0,0.699954,0.160038,0.643620,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_6,10,1,7.601419,1.568451,3000,50.031250,199.981100,4,2.329121,0.040719,0.106755,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_7,10,1,8.180571,0.379261,3000,50.031380,199.981300,0,0.655940,0.074330,0.216741,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_8,10,1,7.416509,1.078357,3000,50.031250,199.981300,0,0.858732,0.074096,0.144518,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_9,10,1,6.635241,1.026519,3000,50.031250,199.981300,0,0.537626,0.066217,0.130778,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,1_10,10,1,7.210689,1.253672,3000,50.031380,199.981300,1,1.733751,0.064421,0.152194,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_1,10,1,6.004610,1.916381,3000,50.031250,199.981300,4,3.845334,0.070746,0.194827,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_2,10,1,6.499862,1.288966,3000,50.031250,199.981100,8,2.477231,0.123231,0.266752,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_3,10,1,4.444490,0.946766,3000,50.031380,199.981300,2,1.607953,0.049742,0.111730,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_4,10,1,5.992151,0.163698,3000,50.031380,199.981300,0,0.329800,0.060143,0.178859,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_5,10,1,5.973950,0.616511,3000,50.031250,199.981400,0,0.604839,0.070678,0.192132,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_6,10,1,6.810266,1.035534,3000,50.031250,199.981400,1,1.531762,0.053026,0.119768,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_7,10,1,9.224045,1.951694,3000,50.031380,199.981300,12,4.137594,0.073742,0.165651,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_8,10,1,5.924272,0.236420,3000,50.031250,199.981400,0,0.495855,0.082753,0.208720,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_9,10,1,6.859135,0.717266,2762,50.031250,188.043100,4,3.844530,0.063252,0.158678,80,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,1_10,10,1,7.770721,1.964424,3000,50.031250,199.981300,0,1.490896,0.064306,0.182065,80,6.875000,5.500000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_1,10,1,6.932053,0.225865,3000,50.031380,199.981300,0,0.499177,0.081285,0.186319,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_2,10,1,9.563350,1.440566,3000,50.031380,199.981300,2,1.634672,0.205538,0.476320,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_3,10,1,8.125778,0.255577,3000,50.031380,199.981100,0,0.507125,0.091173,0.222093,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_4,10,1,9.644991,0.940598,3000,50.031380,199.981300,1,1.445931,0.079644,0.218314,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_5,10,1,8.712017,0.393989,3000,50.031250,199.981300,0,0.774917,0.086558,0.224815,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_6,10,1,8.588695,1.405608,3000,50.031380,199.981100,5,2.259158,0.078155,0.185206,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_7,10,1,7.174404,0.411264,3000,50.031380,199.981300,0,0.811953,0.071391,0.173486,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_8,10,1,8.566784,0.233968,3000,50.031380,199.981300,0,0.652347,0.065059,0.158472,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_9,10,1,8.171332,0.619110,3000,50.031380,199.981400,0,1.266079,0.079812,0.248837,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,1_10,10,1,8.067861,1.110598,3000,50.031380,199.981100,0,1.237531,0.073427,0.168559,80,22.500000,18.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_1,10,1,8.674831,0.453820,3000,50.031250,199.981300,0,0.473362,0.077308,0.197523,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_2,10,1,6.539773,0.415199,3000,50.031250,199.981300,1,3.967642,0.112797,0.315962,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_3,10,1,6.823301,0.297872,3000,50.031380,199.981300,0,0.582018,0.087525,0.254879,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_4,10,1,5.913689,0.262550,3000,50.031250,199.981300,0,0.339961,0.043214,0.127066,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_5,10,1,9.684161,1.696270,3000,50.031250,199.981300,7,2.702532,0.053761,0.140021,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_6,10,1,8.170634,0.254839,3000,50.031380,199.981300,0,0.736692,0.056627,0.180283,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_7,10,1,7.562096,0.257138,3000,50.031250,199.981100,0,0.445807,0.057840,0.131603,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_8,10,1,6.425089,0.324311,3000,50.031380,199.981300,0,0.703696,0.064434,0.170674,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_9,10,1,6.578057,0.214160,3000,50.031380,199.981300,0,0.553820,0.065703,0.165125,80,16.250000,13.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,1_10,10,1,5.736525,0.180760,3000,50.031380,199.981100,0,0.471487,0.062795,0.157649,80,16.250000,13.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_1,10,1,8.338104,0.563697,3000,50.031000,199.981100,1,1.539652,0.085584,0.180199,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_2,10,1,7.434087,0.515859,3000,50.031130,199.981100,0,0.845198,0.056401,0.120281,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_3,10,1,8.067122,0.476810,3000,50.031130,199.981300,0,1.239765,0.066628,0.178804,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_4,10,1,6.937446,0.299984,3000,50.031000,199.981300,0,0.734948,0.062393,0.135983,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_5,10,1,7.281047,0.182712,3000,50.031130,199.981300,0,0.400865,0.088688,0.333915,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_6,10,1,8.821558,1.293404,3000,50.031130,199.981300,4,2.464978,0.044765,0.113315,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_7,10,1,8.840938,1.412656,3000,50.031000,199.981300,5,2.558386,0.056461,0.146216,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_8,10,1,7.691139,0.455178,3000,50.031000,199.981300,0,0.624543,0.052502,0.121441,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_9,10,1,6.569689,0.264457,3000,50.031130,199.981300,1,2.068782,0.068156,0.155115,80,5.000000,4.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,1_10,10,1,6.223687,0.256270,3000,50.031000,199.981300,0,0.499128,0.076862,0.140215,80,5.000000,4.000000
