sealant,liner,side,liner_label,side_label,file,n_replicates,mean_release_cN_25mm_mean,mean_release_cN_25mm_std,mean_release_cN_25mm_median,noise_std_cN_25mm_median,noise_std_cN_25mm_max,noise_max_abs_cN_25mm_median,noise_max_abs_cN_25mm_max,peaks_0.5cN_mean,peaks_0.5cN_median,peaks_0.5cN_sum,peaks_0.5cN_std,peaks_1cN_mean,peaks_1cN_median,peaks_1cN_sum,peaks_1cN_std,peaks_1.4cN_mean,peaks_1.4cN_median,peaks_1.4cN_sum,peaks_1.4cN_std,peaks_2cN_mean,peaks_2cN_median,peaks_2cN_sum,peaks_2cN_std,peaks_3cN_mean,peaks_3cN_median,peaks_3cN_sum,peaks_3cN_std
C1EN,rossella,external,Rossella,outer,20250521_C1EN_rossella_external.csv,10,11.705623124046907,1.5672999358961794,11.400244954728464,0.05587179495669574,0.07412747627705078,0.1478293095086078,0.16935338688943885,13.4,12.5,134,9.617114374327098,3.0,1.0,30,4.760952285695233,1.8,0.0,18,5.028805910838963,1.3,0.0,13,4.110960958218892,0.9,0.0,9,2.8460498941515415
C1EN,rossella,internal,Rossella,inner,20250521_C1EN_rossella_internal.csv,10,15.027697135807495,3.208883762508267,13.791791485433052,0.05884989494899282,0.21581341466060397,0.16734818840626806,0.47852452631019904,35.4,38.5,354,22.921120779267703,14.9,9.0,149,20.024706961373713,10.9,4.0,109,19.450506991392853,8.5,0.0,85,18.727579187450317,6.5,0.0,65,15.414639506362485
T1E,crosil42,external,Crosil 42,outer,20250428_T1E_crosil42_external.csv,10,5.338712616527557,0.5390507735432346,5.4329267280288605,0.06853528101906461,0.08972095387946859,0.16866622700560097,0.22117087032031915,2.8,0.5,28,4.237399621885521,1.6,0.0,16,3.777124126457412,1.1,0.0,11,2.8460498941515415,0.8,0.0,8,2.2010098692292237,0.7,0.0,7,2.2135943621178655
T1E,crosil42,internal,Crosil 42,inner,20250425_T1E_crosil42_internal.csv,10,4.323856718464016,0.6704228469670229,4.498806029712183,0.07406565821277725,0.10197014304704341,0.1678218694398786,0.22674691813092274,0.7,0.0,7,1.2516655570345725,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
T1E,dolpap,external,Dolpap,outer,20250430_T1E_dolpap_external.csv,10,5.373033698480835,0.2660942800607418,5.3613591021301685,0.05972106169840478,0.09637190428730101,0.14922209382195384,0.2737507589529675,5.6,3.5,56,5.621387729022079,1.6,0.0,16,2.503331114069145,0.9,0.0,9,1.911950719959998,0.6,0.0,6,1.2649110640673518,0.2,0.0,2,0.4216370213557839
T1E,dolpap,internal,Dolpap,inner,20250505_T1E_dolpap_internal.csv,10,6.01192883516703,0.7472141139829033,5.995536868024022,0.06317042339992773,0.08160842349361146,0.15409866850454662,0.29659834719858896,12.1,9.5,121,12.458375139283257,3.0,3.5,30,2.748737083745107,2.0,2.0,20,1.9436506316151,1.0,0.0,10,1.4907119849998598,0.7,0.0,7,1.0593499054713802
T1E,rossella,external,Rossella,outer,20250423_T1E_rossella_external.csv,10,9.385556674280839,0.5323409003776465,9.291366716323754,0.05584445483951328,0.08615539033816576,0.1331042254688797,0.2129649591470155,11.6,10.5,116,9.766154707855993,1.0,0.0,10,2.0,0.2,0.0,2,0.6324555320336759,0.0,0.0,0,0.0,0.0,0.0,0,0.0
T1E,rossella,internal,Rossella,inner,20250417_T1E_rossella_internal.csv,10,8.976987295505532,0.8322753875018308,9.123228804813554,0.08027528800077421,0.15829998255584135,0.17662194103349232,0.5682159074961718,66.9,81.5,669,42.96109350977411,27.8,27.5,278,25.24458137678042,11.7,11.5,117,11.264990013311154,6.1,5.0,61,7.880355321938218,2.5,2.5,25,2.5055493963954847
T1EN,crosil42,external,Crosil 42,outer,20250514_T1EN_crosil42_external.csv,10,8.449287342309223,0.7353541167918801,8.483797963368936,0.06703726600971394,0.09379821204058884,0.18081329409634167,0.2801527751543219,38.2,20.5,382,41.69412428628283,4.4,0.0,44,8.783823515733657,0.8,0.0,8,1.6193277068654826,0.1,0.0,1,0.31622776601683794,0.1,0.0,1,0.31622776601683794
T1EN,crosil42,internal,Crosil 42,inner,20250514_T1EN_crosil42_internal.csv,10,8.449287342309223,0.7353541167918801,8.483797963368936,0.06703726600971394,0.09379821204058884,0.18081329409634167,0.2801527751543219,38.2,20.5,382,41.69412428628283,4.4,0.0,44,8.783823515733657,0.8,0.0,8,1.6193277068654826,0.1,0.0,1,0.31622776601683794,0.1,0.0,1,0.31622776601683794
T1EN,dolpap,external,Dolpap,outer,20250516_T1EN_dolpap_external.csv,10,8.354731111246526,0.8780278105000098,8.369051007859522,0.07972799160905042,0.2055378822764007,0.2023167653034187,0.47631998944356113,40.8,52.0,408,33.44248794572557,4.4,0.5,44,6.397916327472042,1.0,0.0,10,2.0,0.1,0.0,1,0.31622776601683794,0.0,0.0,0,0.0
